BFS
226 244 109
26 131 73
40 229 6
2833066
0 83 14 1
0 97 36 15 16
0 98 0 3 4
0 98 1 15 18
0 98 2 11 17
0 98 3 8 18
0 98 8 15 16
0 98 12 11 12
0 98 14 7 12
0 98 20 3 8
0 98 22 1 17
0 98 23 8 16
0 98 24 1 3
0 98 25 5 11
0 98 26 5 6
0 98 27 6 11
0 98 28 8 18
0 98 33 4 11
0 98 35 17 18
0 98 37 18
0 98 41 3 8
0 99 0 4 7
0 99 2 16 18
0 99 4 8 15
0 99 7 17
0 99 9 3 18
0 99 10 11 12
0 99 13 3 16
0 99 20 4 12
0 99 22 5 17
0 99 23 6 16
0 99 24 4 11
0 99 25 5 12
0 99 26 5 6
0 99 27 6 8
0 99 28 5 16
0 99 29 5 6
0 99 30 6
0 99 33 7 8
0 99 35 15
0 99 36 3 16
0 99 41 3 4
0 100 1 1 17
0 100 2 1
0 100 4 8 16
0 100 5 5 18
0 100 6 1 6
0 100 7 11 15
0 100 9 4 15
0 100 11 5 15
0 100 12 6 17
0 100 13 4 12
0 100 14 3 11
0 100 16 7 11
0 100 20 1 12
0 100 21 8 11
0 100 22 8 17
0 100 24 5 8
0 100 25 1 6
0 100 27 11 17
0 100 33 5 7
0 100 34 1 6
0 100 35 3 17
0 100 36 4 18
0 100 37 11
0 100 41 4 12
0 100 42 3 8
0 101 0 11 15
0 101 3 16 17
0 101 4 1 11
0 101 5 3 8 11
0 101 6 3 15
0 101 8 1 18
0 101 9 8 11
0 101 10 15 18
0 101 11 5 7
0 101 12 6 18
0 101 13 3 16
0 101 14 1 4
0 101 15 1 15
0 101 16 7 11
0 101 17 7 12
0 101 18 15 16
0 101 20 1 5
0 101 21 3 6
0 101 22 15
0 101 23 3 15
0 101 24 5 15
0 101 25 6 8
0 101 26 3 5
0 101 27 5 6
0 101 28 6 16
0 101 29 1 15
0 101 30 7 11
0 101 31 5 12
0 101 32 6 16
0 101 34 15 16
0 101 35 4 16
0 101 42 4 8
0 101 45 3 15
0 101 46 8 11
0 101 47 1 11
0 102 1 1 18
0 102 2 16 17
0 102 4 3 11
0 102 5 3 4
0 102 6 3 4
0 102 7 15 18
0 102 8 8 12
0 102 9 12 15
0 102 10 3 12
0 102 11 3 18
0 102 12 7 17
0 102 13 4 7
0 102 14 1 12
0 102 16 16 18
0 102 17 16 17
0 102 18 7 15
0 102 19 7 18
0 102 20 1 12
0 102 21 4 16
0 102 23 4 18
0 102 24 3 18
0 102 25 16 18
0 102 26 4 15
0 102 27 8 17
0 102 28 5 8
0 102 29 5 6
0 102 30 6 7 18
0 102 31 1 17
0 102 32 1 16
0 102 33 12 17
0 102 34 16 17
0 102 35 5 18
0 102 36 6 12
0 102 44 3 5
0 102 45 4 6
0 102 46 11 18
0 103 1 1 17
0 103 2 7 12
0 103 3 1 15
0 103 4 1 4
0 103 5 4
0 103 6 4 8
0 103 7 1 8
0 103 8 3 18
0 103 9 1 8
0 103 10 4 18
0 103 11 4 12
0 103 13 5 15
0 103 14 5 6
0 103 15 6 17
0 103 16 16 17
0 103 17 3 12
0 103 18 7 11
0 103 19 7 18
0 103 20 15 17
0 103 21 1 7
0 103 22 3 16
0 103 23 3 7
0 103 24 1 4 17
0 103 25 3 5
0 103 26 6 8
0 103 27 11 18
0 103 28 7 8
0 103 29 8 15
0 103 30 3 12
0 103 31 12 15 16 17
0 103 32 11 16
0 103 33 3 17
0 103 34 5 11
0 103 35 6 11
0 103 36 1 16
0 103 42 11 12
0 103 44 4 8
0 103 45 11 15
0 103 47 3 8
0 104 1 11 12
0 104 2 7
0 104 3 1 16
0 104 4 15 18
0 104 5 1 12
0 104 6 1 16
0 104 7 8
0 104 8 4 11
0 104 13 5
0 104 14 6 18
0 104 15 3 17
0 104 16 11 12
0 104 17 4 11
0 104 18 7
0 104 19 15
0 104 20 1 7
0 104 21 17 18
0 104 22 4 15
0 104 23 4 8
0 104 24 7 8
0 104 25 4 5
0 104 26 6 12
0 104 27 7 12
0 104 28 3 12
0 104 29 1
0 104 30 3 4 5 17 18
0 104 31 6 17
0 104 32 1 18
0 104 33 4 15
0 104 34 15 16
0 104 35 11 17
0 104 36 12 15
0 104 37 1 11
0 104 39 7 16
0 104 41 5 12
0 104 42 6 15
0 104 45 1 3
0 104 46 12 18
0 104 47 4 7
0 104 63 11
0 105 0 1 15
0 105 1 1 16
0 105 2 8 17
0 105 3 11 16
0 105 4 11 12
0 105 5 17 18
0 105 6 3 7
0 105 8 12 15
0 105 13 1 3
0 105 14 8 11
0 105 15 4 7
0 105 16 3 7 8 12
0 105 17 3 11
0 105 18 5 7
0 105 19 6 8 12
0 105 20 1 18
0 105 21 12 16
0 105 22 1 5
0 105 23 6 11 15 18
0 105 24 12
0 105 27 1 3
0 105 28 4
0 105 29 12 16
0 105 30 4 15
0 105 31 8 16
0 105 32 3
0 105 33 17
0 105 34 11 18
0 105 35 16 18
0 105 37 5 18
0 105 38 6 17
0 105 41 5 7
0 105 42 1 6
0 105 43 8 18
0 105 44 1 8
0 105 45 4 16
0 105 46 1 11
0 105 47 3 8
0 105 48 7 15
0 106 0 17
0 106 1 16 18
0 106 2 12 17
0 106 3 3 16
0 106 4 1 11
0 106 5 8 15
0 106 6 4 8
0 106 8 7 11
0 106 9 12 18
0 106 10 1 7
0 106 11 1 8
0 106 13 4 15
0 106 15 12 16
0 106 16 4 5
0 106 17 4 6
0 106 18 8
0 106 19 15 16
0 106 20 12 17
0 106 21 3 5
0 106 22 1 6
0 106 23 12
0 106 24 1 18
0 106 25 3 15
0 106 27 4 15
0 106 28 11 17
0 106 29 15 16
0 106 30 16 17
0 106 31 15 18
0 106 32 4 11
0 106 33 15
0 106 34 5 17
0 106 35 6 15
0 106 36 5 12
0 106 37 6 8
0 106 42 1 5
0 106 43 3 6
0 106 44 5 8 11 17
0 106 45 6 12
0 106 46 1 16
0 106 47 4 5
0 106 48 6
0 106 49 16 18
0 106 50 1 15
0 107 0 17
0 107 1 11 12
0 107 2 12 17
0 107 3 4 15
0 107 4 3 16
0 107 5 3 12
0 107 6 1 18
0 107 12 11 16
0 107 14 17 18
0 107 16 1 15
0 107 17 15
0 107 18 1 17
0 107 19 3
0 107 20 5 18
0 107 21 4 5 6
0 107 22 6 7
0 107 23 3 16
0 107 24 8 15
0 107 25 4 16
0 107 26 7 18
0 107 27 1 7
0 107 28 17 18
0 107 29 16 17
0 107 30 1 18
0 107 31 3 12
0 107 32 16 18
0 107 33 1 5
0 107 34 6 8 18
0 107 35 5 16
0 107 36 6 18
0 107 37 8 16
0 107 41 8 16
0 107 43 4 5
0 107 44 1 6
0 107 45 3 17
0 107 48 12 17
0 107 51 7 18
0 108 0 8 15
0 108 1 3 11
0 108 2 3 12
0 108 3 11 17
0 108 4 4 18
0 108 5 4 11
0 108 6 1 16
0 108 7 1 8
0 108 11 3 17
0 108 12 5 7
0 108 13 3 6
0 108 14 5 11
0 108 15 6 8
0 108 17 8 18
0 108 18 16 18
0 108 19 3 4
0 108 20 1 3
0 108 21 1 15
0 108 22 16 17
0 108 23 4 7
0 108 24 15 17
0 108 25 16 18
0 108 26 7
0 108 27 5 15
0 108 28 6 17
0 108 29 3 16
0 108 30 7 11
0 108 31 4 17
0 108 32 3 8
0 108 33 12 15
0 108 34 16 17
0 108 35 8 15
0 108 36 1 17
0 108 37 1
0 108 38 1 5
0 108 39 6
0 108 40 3 17
0 108 45 3 4
0 108 46 1 3
0 108 51 7 16
0 108 63 7 15
0 109 0 8 11
0 109 1 1 4 7 15 16 18
0 109 2 4 16
0 109 3 12 15
0 109 4 11 12
0 109 5 5 15 17
0 109 6 6 16
0 109 7 3 16
0 109 8 1 3
0 109 11 4 15
0 109 12 8 12
0 109 13 4 15
0 109 17 7 17
0 109 19 3 4
0 109 20 4 5
0 109 21 6 17
0 109 22 7 18
0 109 23 12 16
0 109 24 7 17
0 109 25 5 18
0 109 26 1 6
0 109 27 3 7
0 109 28 17 18
0 109 29 1 4
0 109 30 5 15
0 109 31 6 11
0 109 32 4 8
0 109 33 8 16 17
0 109 34 11 18
0 109 35 1 7
0 109 36 5 18
0 109 37 6 15
0 109 39 7 15
0 109 40 4 5
0 109 41 1 6
0 109 42 5 7
0 109 43 6 11
0 109 44 5 15
0 109 45 4 6
0 109 46 4 12
0 109 47 7 16
0 109 50 5 17
0 109 51 6 16
0 109 64 8 18
0 110 0 8 17
0 110 1 16 17
0 110 2 1 11 18
0 110 3 3 7
0 110 4 1 18
0 110 5 7 17
0 110 6 3 17 18
0 110 7 3 4 15
0 110 8 4 5
0 110 9 1 6
0 110 12 16 18
0 110 13 1 12
0 110 14 16 18
0 110 16 3 8
0 110 18 8 16
0 110 19 4 5
0 110 20 6 16
0 110 22 11 17
0 110 23 3 15
0 110 24 5 16
0 110 25 6 8
0 110 26 15 16
0 110 27 4 12
0 110 28 1 7
0 110 29 1 3
0 110 30 7 11
0 110 31 16 18
0 110 32 11 17
0 110 33 12 16
0 110 34 3 16
0 110 37 11 12
0 110 38 16 18
0 110 39 12
0 110 40 11 18
0 110 45 16 18
0 110 46 7 17
0 110 47 12 15
0 110 49 11 15
0 110 50 3 17
0 110 52 1 3
0 110 53 3 5
0 110 54 6 11
0 111 0 1 7 17
0 111 1 7 8
0 111 2 12 16
0 111 3 4 16
0 111 4 5 8
0 111 5 3 6
0 111 6 4 11
0 111 7 4 15
0 111 8 1 18
0 111 9 16
0 111 11 1 17
0 111 12 8 12
0 111 13 1 17
0 111 14 5 15
0 111 15 6 8
0 111 16 4 5
0 111 17 6 17
0 111 19 5 17
0 111 20 6 7
0 111 21 1 11
0 111 23 4 17
0 111 24 7 18
0 111 25 16 17
0 111 26 1 5
0 111 27 6 18
0 111 28 1 5
0 111 29 4 6
0 111 30 12 17
0 111 31 5 7
0 111 32 6 17
0 111 33 8 17
0 111 34 3 4
0 111 37 1 17
0 111 39 3 12
0 111 43 3 7
0 111 44 3 17
0 111 45 3 12
0 111 46 11 16
0 111 47 3 15
0 111 48 15 18
0 111 49 3 8
0 111 50 4 18
0 111 52 4 5
0 111 53 4 6
0 112 0 5 7
0 112 1 6 17
0 112 2 16 17
0 112 3 1 12
0 112 4 12 15
0 112 5 4 5
0 112 6 5 6
0 112 7 6 11
0 112 8 17 18
0 112 9 3 5
0 112 10 6 11
0 112 11 5 15
0 112 12 6 15
0 112 13 1 15
0 112 15 15 18
0 112 17 5
0 112 18 6 7
0 112 19 11 12
0 112 20 12 16
0 112 21 1 3
0 112 22 5 15
0 112 23 6 8
0 112 24 7 17
0 112 25 16
0 112 26 5 15
0 112 27 6 16
0 112 28 1 7
0 112 29 3 11
0 112 30 1
0 112 33 1 7
0 112 34 1 4
0 112 37 3 7
0 112 39 4 7
0 112 40 7 11
0 112 42 5 15
0 112 43 4 6
0 112 44 3 4
0 112 45 4 17
0 112 46 3 12
0 112 47 4 16
0 112 48 3 18
0 112 49 4 18
0 112 50 7 12
0 112 52 5 12
0 112 53 6 12
0 113 0 3 5
0 113 1 6 17
0 113 2 3 11
0 113 3 8 12
0 113 4 7 12
0 113 5 16 18
0 113 6 11
0 113 7 5 12
0 113 8 6 16
0 113 9 4 7
0 113 10 7 12
0 113 11 3 12
0 113 12 15 18
0 113 13 7 18
0 113 14 15 18
0 113 15 1 7
0 113 16 7 18
0 113 17 1 8
0 113 18 1 11
0 113 19 5 17
0 113 20 6 16
0 113 21 1 4
0 113 22 15 16
0 113 23 15 18
0 113 24 5 17
0 113 25 3 6
0 113 26 7 17
0 113 27 1 18
0 113 28 15 16
0 113 29 4 16
0 113 31 1 5
0 113 32 5 6
0 113 33 6 8
0 113 34 1 3
0 113 37 4 15
0 113 38 1 5
0 113 39 6 11
0 113 43 11 18
0 113 44 4
0 113 45 1 12
0 113 46 4 17
0 113 48 4 15
0 113 49 5 12
0 113 50 6 8
0 113 68 1 7
0 114 0 1 4
0 114 1 15 16
0 114 2 4 12
0 114 3 7 15
0 114 4 11 17
0 114 5 3 15
0 114 6 1 7
0 114 7 16 17
0 114 8 8 15
0 114 9 11 12
0 114 10 5 7
0 114 11 4 6
0 114 13 5 18
0 114 14 6 16
0 114 15 8 18
0 114 16 16
0 114 17 11 16
0 114 18 1 15
0 114 19 5 17
0 114 20 6 15
0 114 21 7 17
0 114 22 3
0 114 23 5 18
0 114 24 6 18
0 114 25 3 4
0 114 26 7 8 16
0 114 27 5 17
0 114 28 6 17
0 114 29 7 11 18
0 114 30 12 15
0 114 31 8 11
0 114 33 7 15
0 114 34 4 16
0 114 38 15 18
0 114 43 3 15
0 114 45 5 11
0 114 46 6 7
0 114 47 7 16
0 114 49 16 18
0 114 52 7 16
0 114 63 7 11
0 115 0 1 17
0 115 1 3 12
0 115 2 3 18
0 115 3 8 11
0 115 4 1 18
0 115 5 1 4
0 115 6 17 18
0 115 7 7 11
0 115 8 11 16
0 115 9 7 18
0 115 10 16
0 115 11 3 5
0 115 12 6 8
0 115 13 5 17
0 115 14 6 16
0 115 15 3 17
0 115 16 7 17
0 115 17 8 15
0 115 18 3
0 115 19 5 18
0 115 20 5 6
0 115 21 6 18
0 115 22 4 5
0 115 23 6 8
0 115 24 3 16
0 115 25 4 17
0 115 26 5 7
0 115 27 1 6
0 115 28 15 16
0 115 29 3 5
0 115 30 6 15
0 115 31 11 18
0 115 32 7 8
0 115 33 15 17
0 115 34 5 18
0 115 35 3 6
0 115 36 3 16
0 115 38 7
0 115 39 7 18
0 115 40 1 7
0 115 43 4 12
0 115 44 5 18
0 115 45 6 11
0 115 46 7 17
0 115 48 5 17
0 115 49 6 16
0 115 51 12 17
0 115 61 5
0 115 62 6 15
0 115 63 7 15
0 115 64 7 12
0 115 70 11
0 116 0 3
0 116 1 4
0 116 2 1 4
0 116 3 5 7
0 116 4 6 15
0 116 5 11
0 116 6 5
0 116 7 6 17
0 116 8 5 16
0 116 9 6 16 17
0 116 10 1 16
0 116 11 3 4
0 116 12 15
0 116 13 16 17
0 116 14 1
0 116 15 4 15
0 116 16 15
0 116 17 8 11
0 116 18 4 18
0 116 19 11 16
0 116 20 1 7
0 116 21 5 7
0 116 22 6 15
0 116 23 16 17
0 116 24 4 7
0 116 25 12 16
0 116 26 5
0 116 27 3 5 6 11 16 17
0 116 28 6 15
0 116 29 4 18
0 116 30 1 8
0 116 31 16 18
0 116 32 11 12
0 116 33 12 16
0 116 34 3 18
0 116 35 4 17
0 116 36 4 7
0 116 39 1 12
0 116 41 3 15
0 116 42 3
0 116 44 1 7
0 116 46 12 15
0 116 48 12 17
0 116 58 3 15
0 116 63 15 18
0 116 64 15 18
0 116 67 8 12
0 116 70 5 12
0 116 71 6 8
0 117 0 4 5
0 117 1 3 6
0 117 2 3 7
0 117 3 8
0 117 4 1 16
0 117 5 7 18
0 117 6 11 16
0 117 7 3 17
0 117 8 17
0 117 9 15 17
0 117 10 5 16
0 117 11 4 6
0 117 12 11 17
0 117 13 5 18
0 117 14 6 16
0 117 15 11 15
0 117 16 16 18
0 117 17 8 18
0 117 18 16 17
0 117 19 12 15
0 117 20 3 15
0 117 21 3 12
0 117 22 8 17
0 117 23 1 18
0 117 24 5 17
0 117 25 6 11
0 117 26 7 17
0 117 27 4 5
0 117 28 6 12
0 117 29 15 18
0 117 30 16 17
0 117 32 7 17
0 117 33 1 11
0 117 34 4 8
0 117 35 5 8
0 117 36 6 11
0 117 39 12 16
0 117 40 3 15
0 117 41 4 11
0 117 42 4 18
0 117 44 11 16
0 117 46 5 15
0 117 47 6 18
0 117 49 11 15
0 117 51 7 8
0 117 54 11 16
0 117 56 8 15
0 117 58 1 4
0 117 59 5 18
0 117 60 5 6
0 117 61 1 6
0 117 62 5 16
0 117 63 6 16
0 117 64 3 18
0 117 65 3 18
0 117 66 8 11
0 118 0 3
0 118 1 4 5
0 118 2 4 6
0 118 3 16 17
0 118 4 1 16
0 118 5 12 17
0 118 6 1 15
0 118 7 4 8 16
0 118 8 3 8
0 118 9 8 17
0 118 10 7 18
0 118 11 5 12
0 118 12 6 15
0 118 13 16 17
0 118 14 1 12
0 118 15 3 17
0 118 16 16 18
0 118 17 8 17
0 118 18 16
0 118 19 3 8
0 118 20 4 18
0 118 21 4 18
0 118 24 1 16
0 118 25 3 16
0 118 26 1 3
0 118 27 15
0 118 28 8
0 118 29 1 17
0 118 30 16 18
0 118 31 3 5
0 118 32 6
0 118 33 3 5
0 118 34 1 6
0 118 35 5 7
0 118 36 6 11
0 118 37 3 8
0 118 38 12 17
0 118 39 3 11
0 118 40 4 7
0 118 41 7 18
0 118 42 1 16
0 118 43 3 17
0 118 45 12
0 118 47 15 18
0 118 48 3 12
0 118 50 18
0 118 53 16 17
0 118 54 5 16
0 118 55 1 6
0 118 57 11 18
0 118 61 8 17
0 118 62 7 17
0 118 64 4 7
0 118 65 4 8
0 118 70 7 12
0 119 0 1 3 4 15
0 119 1 5 15
0 119 2 6 17
0 119 3 3 17
0 119 4 7 11
0 119 5 7 15
0 119 6 5 17
0 119 7 3 6 16 18
0 119 8 4 16
0 119 9 15 16
0 119 10 12
0 119 11 3 16
0 119 12 3 17
0 119 13 12 18
0 119 14 7 15
0 119 15 4 17
0 119 16 3 11
0 119 17 15 17
0 119 18 3 11
0 119 19 4 12
0 119 20 3 7
0 119 21 7 16
0 119 23 17
0 119 24 15 17
0 119 25 4 11
0 119 26 4 11
0 119 27 1 3
0 119 28 15 18
0 119 29 15 17
0 119 30 3 15
0 119 31 4 5
0 119 32 6 16
0 119 33 4
0 119 34 8 16
0 119 35 5 16
0 119 36 6 15
0 119 37 1 4
0 119 38 1 15
0 119 39 3 4
0 119 40 5 16
0 119 41 6 17
0 119 42 15
0 119 43 4 5
0 119 44 6 16
0 119 48 4 18
0 119 52 16 17
0 119 53 5 17
0 119 54 6 15
0 119 55 11 15
0 119 61 3
0 119 62 1 3
0 119 63 5 11
0 119 64 6 7
0 119 65 3 8
0 119 66 5 7
0 119 67 6 8
0 119 71 1 15
0 120 0 4
0 120 1 15 18
0 120 2 15 18
0 120 3 4 12
0 120 4 1 11
0 120 5 3 7
0 120 6 17 18
0 120 7 4 17
0 120 8 16 17
0 120 9 7 12
0 120 10 17 18
0 120 11 3 4 5
0 120 12 1 4 5 6 11 12
0 120 13 6 15
0 120 15 5 18
0 120 16 4 6
0 120 17 1 15
0 120 18 4 15 16 18
0 120 19 8 16
0 120 20 4 17
0 120 21 3 11
0 120 23 11 15
0 120 24 5 7
0 120 25 6 18
0 120 26 15 16
0 120 27 4 16
0 120 28 15 16
0 120 29 1 3 18
0 120 30 4 18
0 120 31 17 18
0 120 32 8 11
0 120 33 12 17
0 120 34 12 17
0 120 35 1 5
0 120 36 5 6
0 120 37 5 6 18
0 120 38 5 6 12
0 120 39 3 4 6 17 18
0 120 40 7 11
0 120 41 5 12
0 120 42 6 12
0 120 43 17 18
0 120 49 1 3
0 120 51 15 17
0 120 52 5 11
0 120 53 6 15
0 120 54 5 11
0 120 55 6 18
0 120 56 1 18
0 120 61 4 7
0 120 62 3 4
0 120 63 1 15
0 120 64 5 15
0 120 65 4 6
0 120 66 5 16
0 120 67 6 11
0 120 72 12 18
0 120 81 16
0 121 0 7 11
0 121 1 12 16
0 121 2 1 18
0 121 3 3 18
0 121 4 7
0 121 5 4 12
0 121 6 8 12
0 121 7 12 17
0 121 8 12
0 121 9 5 7
0 121 10 6
0 121 11 4 7 12
0 121 12 8 16
0 121 13 11 12
0 121 14 3 18
0 121 15 8 15
0 121 16 5 16
0 121 17 6 17
0 121 18 17 18
0 121 19 5 18
0 121 20 3 6
0 121 21 4 7
0 121 22 3 7
0 121 23 3 12
0 121 24 15 18
0 121 25 17
0 121 26 8 17
0 121 27 17 18
0 121 28 3 8
0 121 29 4 18
0 121 30 5 16
0 121 31 6 16
0 121 32 1 11
0 121 33 1 15
0 121 34 16
0 121 35 1 3
0 121 36 15
0 121 37 1 3
0 121 38 5 16
0 121 39 4 6 15
0 121 40 12 15
0 121 41 11 15
0 121 42 16
0 121 43 5 7
0 121 44 1 6
0 121 45 5 11
0 121 46 6 12
0 121 47 11 15
0 121 48 12 16
0 121 49 4 16
0 121 51 8 11
0 121 52 5 18
0 121 53 6 8
0 121 54 12 18
0 121 55 3 15
0 121 56 12 16
0 121 57 5 11
0 121 58 6 15
0 121 60 7 16
0 121 62 4 7
0 121 63 8 16
0 121 64 15 18
0 121 65 3 7 8 12 15 16 17 18
0 121 66 3 15
0 121 67 7 11
0 121 71 3 11
0 121 75 5 12
0 121 76 1 6
0 121 78 3 8
0 121 80 8 17
0 121 82 8 15
0 122 0 7 17
0 122 1 15 16
0 122 2 7 12 16
0 122 3 4 7
0 122 4 12 16
0 122 5 1 3
0 122 6 3 11
0 122 7 5 7 15
0 122 8 6 11
0 122 9 5 7
0 122 10 6 12
0 122 11 3 17
0 122 12 1 5
0 122 13 6 16
0 122 14 4 15
0 122 15 7 17
0 122 16 8 18
0 122 17 12
0 122 18 8 16
0 122 19 11 16
0 122 20 4 5
0 122 21 6
0 122 22 4 15
0 122 23 4
0 122 24 12 16
0 122 25 3 18
0 122 26 7 15
0 122 27 3
0 122 28 4 8
0 122 29 1 17
0 122 30 8 17
0 122 31 7 15
0 122 32 5 16
0 122 33 6 17
0 122 34 16 18
0 122 35 4 5
0 122 36 6 15
0 122 37 3 4 12 17 18
0 122 38 12 15
0 122 39 12 15
0 122 40 11 18
0 122 41 17 18
0 122 42 1 18
0 122 43 3 5
0 122 44 6 7
0 122 45 3 11
0 122 47 16 17
0 122 48 17 18
0 122 49 1 5
0 122 50 6 7
0 122 51 11 16
0 122 52 7 16
0 122 53 16
0 122 54 1 12
0 122 55 4 17
0 122 56 11 18
0 122 57 5 16
0 122 58 3 6
0 122 59 17 18
0 122 62 15 17
0 122 64 12 17
0 122 65 4 18
0 122 66 4 18
0 122 67 12 18
0 122 71 3 4
0 122 73 3 16
0 122 78 4 5
0 122 79 1 6
0 122 83 5 18
0 122 84 6 16
0 123 0 15 17
0 123 1 16 17
0 123 2 5 18
0 123 3 3 6 16 17
0 123 4 1 15
0 123 5 4 7
0 123 6 4 15
0 123 7 16
0 123 8 18
0 123 9 16
0 123 10 1 8
0 123 11 4 5 15
0 123 12 6 17
0 123 13 8 12
0 123 14 8 16
0 123 15 5 18
0 123 16 6 7
0 123 17 11 17
0 123 18 3 17
0 123 19 5 11
0 123 20 5 6
0 123 21 3 6
0 123 22 1 11
0 123 23 17 18
0 123 24 11 16
0 123 25 4 12
0 123 26 8 12
0 123 27 3 4 18
0 123 28 7
0 123 29 5 16
0 123 30 6 16
0 123 31 5 17
0 123 32 3 6 11 18
0 123 33 15 17
0 123 34 15 16
0 123 35 3 5
0 123 36 3 6
0 123 37 4 15 16 18
0 123 38 5
0 123 39 6 16 18
0 123 40 3 18
0 123 41 3 11
0 123 43 1 4
0 123 44 12 15
0 123 45 4 16
0 123 46 3 17
0 123 47 5 15
0 123 48 6 11
0 123 50 11 17
0 123 51 3 17
0 123 52 3 17
0 123 53 11 15
0 123 54 11 15
0 123 55 1
0 123 56 7 17
0 123 57 5 12
0 123 58 4 6
0 123 59 1 16
0 123 60 3 11
0 123 61 7 8
0 123 62 16
0 123 63 15 18
0 123 64 7 12
0 123 66 3 11
0 123 68 7 16
0 123 71 4 11
0 123 72 3 17
0 123 73 4 8
0 123 83 12 17
0 124 0 3 17
0 124 1 8 18
0 124 2 12 17
0 124 3 3 4
0 124 4 1 5
0 124 5 6 18
0 124 6 7 17
0 124 7 1 18
0 124 8 5 17
0 124 9 5 6
0 124 10 1 5 6 8 15
0 124 11 6 16
0 124 12 11 18
0 124 13 8 17
0 124 14 1 5
0 124 15 6 8
0 124 16 5 11
0 124 17 6 16
0 124 18 4 8
0 124 19 11 15
0 124 20 15
0 124 21 4 15
0 124 22 5 7
0 124 23 6 17
0 124 24 1 16
0 124 25 5 12
0 124 26 5 6
0 124 27 4 6
0 124 28 8 17
0 124 29 1 17
0 124 30 12 15
0 124 31 15
0 124 32 4 7
0 124 33 1 17
0 124 34 16 18
0 124 35 4 18
0 124 36 4 17
0 124 37 3 12
0 124 38 17 18
0 124 39 12 15
0 124 40 4 15
0 124 41 4 5
0 124 42 6
0 124 43 5 7
0 124 44 6 17
0 124 45 12 18
0 124 46 4 12
0 124 47 5 11
0 124 48 6 18
0 124 50 3 15
0 124 51 4 12
0 124 52 3 4
0 124 53 3 8
0 124 54 18
0 124 55 7 18
0 124 56 12 16
0 124 57 1 11
0 124 58 16 17
0 124 59 3 11
0 124 60 4 12
0 124 61 16 17
0 124 62 8 15
0 124 64 5 18
0 124 65 6 15
0 124 66 3 4
0 124 67 5 17
0 124 68 6 8
0 124 69 3 5
0 124 70 5 6
0 124 71 1 6
0 124 72 1 4
0 124 73 5 16
0 124 74 3 6
0 124 75 5 15
0 124 76 6 16
0 124 80 1 5
0 124 81 6 7
0 124 82 1 16
0 124 83 5 12
0 124 84 6 15
0 124 86 12 16
0 125 0 4 15
0 125 1 1 7
0 125 2 5 8
0 125 3 4 6
0 125 4 7 11
0 125 5 3 5
0 125 6 6 12
0 125 7 5 7
0 125 8 6 15 16
0 125 9 5 15
0 125 10 6 17
0 125 11 3 18
0 125 12 7 16
0 125 13 12 15
0 125 14 12
0 125 15 3 11
0 125 16 11 17
0 125 17 3 16
0 125 18 5 15
0 125 19 6 8
0 125 20 15 18
0 125 21 16 18
